stage,lane,milestone,title,completing_features,verifying_features,advances,depends_on,extra_depends_on,own_effort_lo,own_effort_hi,effort_lo,effort_hi,owner,target_start,target_merged,demo_scenes,completion_conditions,notes
B82,E,M1,Visualization library and the trust/provenance experience,F-P7-E-07 F-P7-E-21,,,B80 B81,,0,0,5.5,9,A3,2026-11-20,2026-12-08,"F-P7-E-21: A flow map of the Bab el-Mandeb corridor with the probability band of transit delay and the scenario fan for the Regensburg line, each with a table alternative a screen reader can read || F-P7-E-07: l.brandt drills from the corridor reroute recommendation to the scenario branch, the simulation run and the AIS/port-closure evidence segments, each with truth state and freshness","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B83,E,M1,Knowledge and foresight workspaces,F-P7-E-13 F-P7-E-14,,,B81 B82,,0,0,6,10,A3,2027-02-01,2027-02-17,"F-P7-E-13: An analyst splits a wrongly merged ""Red Sea Shipping Ltd"" entity, previews the consequence on the corridor graph, and the correction notice lands on the briefing that cited it || F-P7-E-14: k.vogel publishes a Regensburg line twin snapshot, branches a synthetic ""corridor closed 6 weeks"" state, runs the simulation and compares the run against baseline in the scenario fan","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B84,E,M1,"Decision/briefing/publishing UX, attention center, governance administration",F-P7-E-12 F-P7-E-15 F-P7-E-16,,,B80 B81 B82,,0,0,8,13,A3,2026-12-14,2027-01-04,"F-P7-E-15: s.roth assembles the corridor decision package with reviewers commenting in-thread; l.brandt decides; the briefing edition is published to the NORDWERK board audience with a receipt per recipient || F-P7-E-12: The Bab el-Mandeb warning is raised; l.brandt receives it in-app and on a verified channel, acknowledges (receipt, not agreement); the overdue item escalates to the COO on the timer; the later withdrawal reaches every original recipient || F-P7-E-16: The NORDWERK domain admin recertifies the corridor team, previews that revoking a departed analyst removes access to two open warnings, and the auditor exports the attested audit trail for the decision","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B85,E,M1,Personas and executive home; localization build,F-P7-E-09 F-P7-E-11,,,B80 B81 B83 B84,,0,0,5,9,A3,2027-03-12,2027-03-25,"F-P7-E-11: s.roth (strategy owner) lands on the executive home and sees the Bab el-Mandeb material change, the open corridor decision and the Regensburg commitment at risk; the analyst persona sees the same objects in analyst depth with identical values || F-P7-E-09: The corridor briefing renders for an Arabic-speaking Djibouti port liaison in RTL with Latin vessel identifiers intact, EUR/USD amounts localized without changing the canonical values, and event times shown in both Djibouti and Regensburg zones","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",professional Arabic translation + counsel review to complete localization (external)
B86,E,M1,"Mobile, field, offline",F-P7-E-10,,,B80 B81 B84,,0,0,5,8,A3,2027-03-23,2027-04-13,"F-P7-E-10: A NORDWERK logistics manager in a Djibouti port office with lost connectivity opens the policy-scoped offline briefing (watermarked, expiring), queues an acknowledgement, and on reconnect the queue reconciles and a conflict with a newer warning version is resolved explicitly","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B90,F,M1,"Data products, semantic metrics, metadata catalog",F-P7-F-09 F-P7-F-10 F-P7-F-11,,,,,0,0,6.5,10.5,A1,2026-12-08,2026-12-24,"F-P7-F-09: The corridor warning stream is registered as an event product owned by the intelligence domain; NORDWERK procurement subscribes, falls behind its lag policy and is flagged, while the product scorecard shows SLO attainment || F-P7-F-10: The certified metric ""corridor exposure (EUR at risk)"" is served with its grain and source revision; an uncertified variant is refused in the executive view || F-P7-F-11: A NORDWERK data steward searches the catalog for ""Red Sea AIS"", sees the owner, lineage to the corridor forecasts and a flagged orphaned staging asset","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B91,F,M1,"Usage metering, cost ledger, entitlements and licensing",F-P7-F-01 F-P7-F-02,,,,,0,0,5,9,A1,2027-02-04,2027-02-18,"F-P7-F-02: The NORDWERK corridor simulation sweep shows its metered compute and model inference against the tenant budget; exceeding the cap stops the sweep with a recorded, explained budget breach || F-P7-F-01: NORDWERK's licence covers Foresight and Decision but not Simulation: the simulation workspace explains the entitlement, the warning and audit controls stay available, and a lapsed licence enters grace mode with the last valid entitlement shown","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B92,F,M1,Product analytics and UX telemetry,F-P7-F-03,,,B90,,0,0,3,5,A1,2027-03-04,2027-03-12,"F-P7-F-03: The NORDWERK operating review shows strategic loop-closure rate, warning acknowledgement latency and forecast calibration for the corridor over the last quarter, each metric traceable to its definition and underlying records","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B93,F,M1,"Integration center, APIs/SDKs/webhooks; exit package completion",F-P7-F-07 F-P7-F-08,,,B84 B90,,0,0,4.5,8,A1,2027-05-31,2027-06-14,"F-P7-F-07: NORDWERK's ERP registers as an API client, subscribes to the corridor warning event product via webhook, is throttled at its quota, and an incompatible schema version is refused with the compatibility report || F-P7-F-08: NORDWERK requests its full exit package; the corridor graph, scenarios, twin snapshots and decision records are exported, verified by the offline verifier and re-imported into the mirror domain without semantic loss","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B94,F,M1,"Onboarding/migration, service management/support, adoption",F-P7-F-04 F-P7-F-05 F-P7-F-06,,,B84 B91 B92,,0,0,8,11,A1,2027-05-03,2027-05-20,"F-P7-F-04: A new NORDWERK subsidiary domain is onboarded: sponsor intent recorded, legacy supplier-risk spreadsheet mapped and rehearsed, reconciliation diffs shown, the customer authority approves the cutover || F-P7-F-06: NORDWERK raises a case about a stalled corridor feed; the support engineer requests 4-hour scoped access, the domain admin approves it in the control center, and the access lapses automatically with an audit trail || F-P7-F-05: The NORDWERK implementation lead tracks corridor-workspace readiness: executive decision owners trained, analyst competence recorded, and the go-live gate held until the risk owner role is filled","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B100,B,M1,"Contract envelope, configuration and exception governance, projection freshness, the authority-role taxonomy",F-R0-02 F-R0-03 F-P4-16 F-P6-16,,,B60,,0,0,2.75,5.5,A1,2027-06-22,2027-07-02,"F-R0-02: A NORDWERK buyer double-submits a supplier-switch command over a flaky link; the second submit returns the first result, and the Regensburg line view states the revision and freshness it was read at","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration","construction moved forward from H1–H3 / R1–R3 by the bounded review of 5da4799 (PLAN-F1); the stage builds and demonstrates the software locally, its comprehensive verification or external proof stays in the verify stage the tracker names"
B101,A,M1,Knowledge quality and freshness monitoring with remediation,F-P3-11,,,B51 B52,,0,0,1.25,2.5,A2,2027-06-22,2027-07-01,"F-P3-11: The graph health view flags 40 orphan shipment nodes from a failed NORDWERK import and a rising projection lag, and opens a remediation task","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration","construction moved forward from H1–H3 / R1–R3 by the bounded review of 5da4799 (PLAN-F1); the stage builds and demonstrates the software locally, its comprehensive verification or external proof stays in the verify stage the tracker names"
B102,C,M1,"Inference admission and budgets, the economics ledger and the serving cell",F-P2-05,,,B45,,0,0,1,2,A3,2027-06-03,2027-06-11,F-P2-05: During a corridor alert storm the warning-extraction workload keeps its latency budget while a bulk historical re-extraction is throttled; the ledger shows NORDWERK inference cost by task,"the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration","construction moved forward from H1–H3 / R1–R3 by the bounded review of 5da4799 (PLAN-F1); the stage builds and demonstrates the software locally, its comprehensive verification or external proof stays in the verify stage the tracker names"
B103,D,M1,"Workload identity, internal mTLS, network zones, governed egress and ingress, trusted time; API abuse controls and vulnerability exposure",F-R0-05 F-P7D-02,,,B61 B65,,0,0,3,5.25,A3,2027-02-11,2027-03-03,F-R0-05: A scripted burst against the NORDWERK briefing API is throttled per principal while the executive session stays responsive || F-P7D-02: A connector pod tries to reach an unregistered host while collecting NORDWERK corridor evidence; the egress gateway blocks it and records the refused transfer with purpose and data class,"the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration","construction moved forward from H1–H3 / R1–R3 by the bounded review of 5da4799 (PLAN-F1); the stage builds and demonstrates the software locally, its comprehensive verification or external proof stays in the verify stage the tracker names"
B104,D,M1,"Workload classes and manifests, the load/soak harness, the capacity model and shedding, cost and accelerator governance software",F-P7D-10,,,B63 B64 B65,,0,0,1.25,2.5,A3,2027-04-13,2027-05-03,"F-P7D-10: A 'Red Sea closure' warning storm (500 corridor signals in 5 minutes) is replayed against the stack; the capacity view shows headroom, queued simulation work and protected interactive latency","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration","construction moved forward from H1–H3 / R1–R3 by the bounded review of 5da4799 (PLAN-F1); the stage builds and demonstrates the software locally, its comprehensive verification or external proof stays in the verify stage the tracker names"
B105,D,M1,"Replicated state, fencing and failover, the availability and DR controllers on compose/kind",F-P7D-13,,,B60 B64 B65,,0,0,1.5,3,A3,2027-02-24,2027-03-04,"F-P7D-13: The primary database is killed during NORDWERK's approval workflow; the replica is promoted, the approval completes once, and the reconciliation report proves no duplicate commitment","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration","construction moved forward from H1–H3 / R1–R3 by the bounded review of 5da4799 (PLAN-F1); the stage builds and demonstrates the software locally, its comprehensive verification or external proof stays in the verify stage the tracker names"
B106,D,M1,The deployment-profile catalog and the cross-profile conformance runner (compose vs kind),F-P7D-23,,,B65,,0,0,1.25,2,A3,2027-02-26,2027-03-05,"F-P7D-23: The same NORDWERK golden journey (observe → warn → decide → replay) runs on the compose and kind profiles; the parity report shows identical objects, one declared variance (local model) and a green gate","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration","construction moved forward from H1–H3 / R1–R3 by the bounded review of 5da4799 (PLAN-F1); the stage builds and demonstrates the software locally, its comprehensive verification or external proof stays in the verify stage the tracker names"
B107,F,M1,"Governance registries, traceability and conformance manifests; the product-governance workspace; design governance; acceptance records",F-R0-04 F-P7D-25 F-P7-E-17 F-P7-F-12,,,B64 B65 B92,,0,0,4.75,8,A1,2027-05-19,2027-06-01,"F-R0-04: The NORDWERK supply-risk capability is accepted for the Regensburg domain only; its evidence expires and the workspace shows the capability constrained until re-acceptance || F-P7D-25: A change to the forecast contract triggers change-impact analysis listing the NORDWERK tests, briefings and requirements affected; the release is held because an exception on the export path expired yesterday","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration","construction moved forward from H1–H3 / R1–R3 by the bounded review of 5da4799 (PLAN-F1); the stage builds and demonstrates the software locally, its comprehensive verification or external proof stays in the verify stage the tracker names"
B108,E,M1,"Accessibility software: automated and keyboard-only journey suites, preferences, timeouts, target size, live regions, accessible exports, governance",F-P7-E-08,,,B80 B81 B82,,0,0,2,3,A3,2027-04-09,2027-04-15,"F-P7-E-08: A screen-reader user approves the corridor decision package using only the keyboard, hears the exact digest and consequence, and receives the signed receipt","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration","construction moved forward from H1–H3 / R1–R3 by the bounded review of 5da4799 (PLAN-F1); the stage builds and demonstrates the software locally, its comprehensive verification or external proof stays in the verify stage the tracker names"
B109,D,M1,"Profile manifests, desired/observed reconciliation and admission gates: observation, model serving, graph and index",F-P1-17 F-P2-18 F-P3-18,,,B40 B43 B45 B51 B53 B65 B102 B106,,0,0,4.5,8.5,A3,2027-06-04,2027-06-22,none (verification-only),"the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration","construction moved forward from H1–H3 / R1–R3 by the bounded review of 5da4799 (PLAN-F1); the stage builds and demonstrates the software locally, its comprehensive verification or external proof stays in the verify stage the tracker names"
B110,D,M1,"Profile manifests, desired/observed reconciliation and admission gates: twins/solvers, executive workflow, agent runtime",F-P5-08 F-P6-15 F-P7A-09,,,B30 B31 B34 B36 B70 B71 B106,,0,0,3,6,A3,2027-04-28,2027-05-19,none (verification-only),"the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration","construction moved forward from H1–H3 / R1–R3 by the bounded review of 5da4799 (PLAN-F1); the stage builds and demonstrates the software locally, its comprehensive verification or external proof stays in the verify stage the tracker names"
B111,D,M1,"The SaaS cell and placement service, the private-cloud/on-prem site packages and control bridge, the per-capability golden journeys — built and run locally",F-P7D-21 F-P7D-22 F-P7D-24,,,B61 B62 B64 B65 B67 B103 B105 B106,,0,0,5.5,10,A3,2027-03-02,2027-03-25,F-P7D-21: NORDWERK and a second tenant are placed in separate EU cells; a cell is evacuated during maintenance and NORDWERK's warnings continue from the standby cell with residency preserved || F-P7D-22: The Eye is installed into a NORDWERK-owned private cloud using NORDWERK's IdP and customer-held keys; the vendor's support access requires NORDWERK approval each time,"the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration","construction moved forward from H1–H3 / R1–R3 by the bounded review of 5da4799 (PLAN-F1); the stage builds and demonstrates the software locally, its comprehensive verification or external proof stays in the verify stage the tracker names"
B112,F,M1,"Marketplace commerce software: usage receipts, licence and entitlement enforcement, take-rate accounting, disputes",F-P7C-09,,,B77 B91,,0,0,0.5,1,A2,2027-06-24,2027-07-01,none (verification-only),"the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration","construction moved forward from H1–H3 / R1–R3 by the bounded review of 5da4799 (PLAN-F1); the stage builds and demonstrates the software locally, its comprehensive verification or external proof stays in the verify stage the tracker names"
H1,H,M2,"Comprehensive verification I: contracts, envelopes, freshness, header conformance, knowledge quality, inference serving at realistic load; the carried timing items",,F-R0-02 F-R0-03 F-R0-05 F-P2-05 F-P3-01 F-P3-11 F-P4-16,,M1,,0.5,1,2.5,5,A1+A2+A3,2027-07-02,2027-07-12,"F-R0-02: A NORDWERK buyer double-submits a supplier-switch command over a flaky link; the second submit returns the first result, and the Regensburg line view states the revision and freshness it was read at || F-R0-05: A scripted burst against the NORDWERK briefing API is throttled per principal while the executive session stays responsive || F-P3-11: The graph health view flags 40 orphan shipment nodes from a failed NORDWERK import and a rising projection lag, and opens a remediation task || F-P2-05: During a corridor alert storm the warning-extraction workload keeps its latency budget while a bulk historical re-extraction is throttled; the ledger shows NORDWERK inference cost by task","the verifying features' comprehensive checks run and passed with evidence (stress, representative data, drills, independent assessment where named); findings corrected by forward change; the hosted chain green; no open finding in scope ; the carried items closed: phase1-acceptance:471 timing, phase6-retention-b14 H2, the phase6-briefing-memory ms cutoff, the ○ fixtures, the B20 unlabelled operator routes, and two seen under full-suite load in B23: the phase6-executive-requests follow-up window at a now-cutoff and a transient unresolved retrieval delivery in phase6-graph-subscriptions-2 B7 telemetry (each passes alone)","plus the carried timing/determinism items (phase1-acceptance:471, retention-b14 H2, briefing-memory cutoff, the ○ fixtures, the B20 unlabelled operator routes)"
H2,H,M2,"Comprehensive verification II: identity/network probes and drift, capacity/soak evidence, HA/DR drills, compose-vs-kind parity, agent containment and escape exercises",,F-P7A-08 F-P7D-02 F-P7D-10 F-P7D-13 F-P7D-23 F-P7D-25,,M1,,0,0,3,5.5,A1+A2+A3,2027-07-02,2027-07-13,"F-P7D-02: A connector pod tries to reach an unregistered host while collecting NORDWERK corridor evidence; the egress gateway blocks it and records the refused transfer with purpose and data class || F-P7D-10: A 'Red Sea closure' warning storm (500 corridor signals in 5 minutes) is replayed against the stack; the capacity view shows headroom, queued simulation work and protected interactive latency || F-P7D-13: The primary database is killed during NORDWERK's approval workflow; the replica is promoted, the approval completes once, and the reconciliation report proves no duplicate commitment || F-P7D-23: The same NORDWERK golden journey (observe → warn → decide → replay) runs on the compose and kind profiles; the parity report shows identical objects, one declared variance (local model) and a green gate || F-P7D-25: A change to the forecast contract triggers change-impact analysis listing the NORDWERK tests, briefings and requirements affected; the release is held because an exception on the export path expired yesterday","the verifying features' comprehensive checks run and passed with evidence (stress, representative data, drills, independent assessment where named); findings corrected by forward change; the hosted chain green; no open finding in scope","GPU, second region, penetration-test and red-team providers (external) to close fully"
H3,H,M2,"Experience and governance acceptance: WCAG audit and assistive-technology testing, usability studies, design and product-governance acceptance by named authorities, independent adversarial review",F-P7-F-13,F-P7B-07 F-P7-E-08 F-P7-E-17 F-P7-F-12,,M1,,0,0,2.5,4.75,A1+A2+A3,2027-07-02,2027-07-12,"F-P7-E-08: A screen-reader user approves the corridor decision package using only the keyboard, hears the exact digest and consequence, and receives the signed receipt","the verifying features' comprehensive checks run and passed with evidence (stress, representative data, drills, independent assessment where named); findings corrected by forward change; the hosted chain green; no open finding in scope ; F-P7-F-13 constituted by the owner's decision","WCAG auditor, assistive-technology testers, named councils/owners (external)"
R1,R,M4,"Deployment profiles installed and certified on real SaaS, private-cloud and on-premise infrastructure; parity on every profile",,F-P1-17 F-P2-18 F-P3-18 F-P5-08 F-P6-15 F-P7A-09 F-P7D-21 F-P7D-22 F-P7D-24,,H1 H2 H3,,0,0,9,17.5,owner+A1,externally gated,externally gated,F-P7D-21: NORDWERK and a second tenant are placed in separate EU cells; a cell is evacuated during maintenance and NORDWERK's warnings continue from the standby cell with residency preserved || F-P7D-22: The Eye is installed into a NORDWERK-owned private cloud using NORDWERK's IdP and customer-held keys; the vendor's support access requires NORDWERK approval each time,the named external prerequisite in hand and recorded; the verifying features proven on the real infrastructure or with the real counterparty; the completing features' documents and decisions recorded; the owner's acceptance,"cloud accounts, landing zone, on-prem site, on-call (external)"
R2,R,M4,Production proof of the loop and attested acceptance records,F-R0-06,F-R0-04,,H1 H2 H3,,0,0,1.5,4,owner+A1,externally gated,externally gated,F-R0-04: The NORDWERK supply-risk capability is accepted for the Regensburg domain only; its evidence expires and the workspace shows the capability constrained until re-acceptance,the named external prerequisite in hand and recorded; the verifying features proven on the real infrastructure or with the real counterparty; the completing features' documents and decisions recorded; the owner's acceptance,a pilot customer and an acceptance authority (external)
R3,R,M4,"Commercial, marketplace commerce and investor package proof",F-P7-F-14 F-P7-F-15 F-P7-F-16,F-P7C-09,,H1 H2 H3,,0,0,1.75,3.75,owner+A1,externally gated,externally gated,none (no synthetic demonstration: requires the real counterparty),the named external prerequisite in hand and recorded; the verifying features proven on the real infrastructure or with the real counterparty; the completing features' documents and decisions recorded; the owner's acceptance,"issuer finance/legal/board approvals, pricing decisions, real customers (external)"
